YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1997-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.2,1,0.056,3,0.056,3,0.305,1,0.17,0
1997-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.1,1,0.056,3,0.056,3,0.305,1,0.17,0
1997-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.1,1,0.056,3,0.056,3,0.305,1,0.17,0
1997-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.0,1,0.056,3,0.056,3,0.305,1,0.17,0
1997-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.0,1,0.056,3,0.056,3,0.305,1,0.17,0
1997-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.0,1,0.056,3,0.056,3,0.305,1,0.17,0
1997-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.9,1,0.056,3,0.056,3,0.305,1,0.17,0
1997-01-01,8:00,87.8,122.0,27,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,24,0,27,3,24,10,10,158,16,4,10,1,1,0,1,0,1,1.0,1,0.056,3,0.032,3,0.305,1,0.17,0
1997-01-01,9:00,81.0,129.5,221,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,43,24,0,27,43,24,120,10,607,16,25,10,31,1,0,1,31,6,1.0,1,0.056,3,0.032,3,0.305,1,0.17,0
1997-01-01,10:00,72.8,141.0,417,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,89,24,0,27,89,24,271,10,794,16,36,10,68,2,0,2,68,6,1.0,1,0.056,3,0.032,3,0.305,1,0.17,0
1997-01-01,11:00,66.6,154.1,562,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,124,24,0,27,124,24,392,10,874,16,45,10,126,2,0,2,126,6,1.0,1,0.056,3,0.032,3,0.305,1,0.17,0
1997-01-01,12:00,62.9,168.7,645,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,144,24,0,27,144,24,464,10,907,16,50,10,112,2,0,2,112,6,1.1,1,0.056,3,0.032,3,0.305,1,0.17,0
1997-01-01,13:00,62.2,184.2,661,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,148,24,0,27,148,24,477,10,912,16,51,10,100,2,0,2,100,6,1.1,1,0.056,3,0.032,3,0.305,1,0.17,0
