YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1995-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,1,0.056,3,0.056,3,0.332,1,0.17,0
1995-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,1,0.056,3,0.056,3,0.332,1,0.17,0
1995-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,1,0.056,3,0.056,3,0.332,1,0.17,0
1995-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,1,0.056,3,0.056,3,0.332,1,0.17,0
1995-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,1,0.056,3,0.056,3,0.332,1,0.17,0
1995-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,1,0.056,3,0.056,3,0.332,1,0.17,0
1995-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,1,0.056,3,0.056,3,0.332,1,0.17,0
1995-01-01,8:00,87.8,122.0,27,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,2,10,0,16,2,10,10,10,161,16,4,10,-9900,99,-9900,99,-9900,99,2.2,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,9:00,81.0,129.6,222,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,31,10,0,16,31,10,118,10,601,16,24,10,-9900,99,-9900,99,-9900,99,2.1,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,10:00,72.8,141.0,417,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,63,10,0,16,63,10,265,10,781,16,34,10,-9900,99,-9900,99,-9900,99,2.1,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,11:00,66.6,154.1,562,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,87,10,0,16,87,10,384,10,859,16,43,10,-9900,99,-9900,99,-9900,99,2.0,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,12:00,62.9,168.8,644,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,101,10,0,16,101,10,454,10,894,16,47,10,-9900,99,-9900,99,-9900,99,2.0,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,13:00,62.2,184.3,660,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,466,10,900,16,47,10,468,10,900,16,48,10,-9900,99,-9900,99,-9900,99,1.9,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,14:00,64.6,199.5,607,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,352,10,701,16,52,10,423,10,881,16,45,10,-9900,99,-9900,99,-9900,99,1.9,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,15:00,69.8,213.3,489,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,235,10,359,16,111,10,324,10,828,16,38,10,-9900,99,-9900,99,-9900,99,1.8,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,16:00,77.1,225.5,315,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,140,10,180,16,100,10,186,10,707,16,29,10,-9900,99,-9900,99,-9900,99,1.8,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,17:00,85.7,235.8,99,1332,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,36,10,236,16,19,10,44,10,395,16,14,10,-9900,99,-9900,99,-9900,99,1.7,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,1,0.056,3,0.029,3,0.332,1,0.17,0
1995-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,1,0.057,3,0.029,3,0.332,1,0.17,0
1995-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,1,0.057,3,0.029,3,0.332,1,0.17,0
1995-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,1,0.057,3,0.029,3,0.332,1,0.17,0
1995-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.057,3,0.029,3,0.332,1,0.17,0
1995-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.057,3,0.029,3,0.332,1,0.17,0
1995-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.057,3,0.029,3,0.332,1,0.17,0
