YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2007-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.2,3,0.056,3,0.056,3,0.296,2,0.17,0
2007-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.3,51,0.056,3,0.056,3,0.296,51,0.17,0
2007-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.4,51,0.056,3,0.056,3,0.297,51,0.17,0
2007-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.5,3,0.056,3,0.056,3,0.297,51,0.17,0
2007-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.5,51,0.056,3,0.056,3,0.297,51,0.17,0
2007-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.4,51,0.056,3,0.056,3,0.298,51,0.17,0
2007-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,3.4,3,0.056,3,0.056,3,0.298,51,0.17,0
2007-01-01,8:00,87.8,122.0,27,696,3,1,9,0,1,21,3,1,9,3,25,0,28,3,25,7,10,40,16,5,10,-9900,99,-9900,99,-9900,99,3.2,51,0.056,3,0.104,3,0.298,51,0.17,0
2007-01-01,9:00,81.0,129.6,222,1415,57,0,9,0,0,21,57,0,9,22,25,0,28,22,25,101,10,374,16,42,10,-9900,99,-9900,99,-9900,99,3.1,51,0.056,3,0.104,3,0.299,51,0.17,0
2007-01-01,10:00,72.8,141.0,417,1415,175,0,9,180,0,21,122,0,9,60,25,0,28,60,25,239,10,600,16,63,10,-9900,99,-9900,99,-9900,99,2.9,3,0.056,3,0.104,3,0.299,51,0.17,0
2007-01-01,11:00,66.6,154.1,562,1415,71,0,9,0,0,21,71,0,9,89,25,0,28,89,25,357,10,703,16,77,10,-9900,99,-9900,99,-9900,99,2.9,51,0.056,3,0.104,3,0.299,51,0.17,0
2007-01-01,12:00,62.9,168.8,645,1415,102,0,9,0,0,21,102,0,9,89,25,0,28,89,25,427,10,749,16,86,10,-9900,99,-9900,99,-9900,99,2.8,51,0.056,3,0.104,3,0.300,51,0.17,0
2007-01-01,13:00,62.2,184.3,660,1415,115,0,9,0,0,21,115,0,9,92,24,0,27,92,24,441,10,758,16,87,10,-9900,99,-9900,99,-9900,99,2.7,3,0.056,3,0.104,3,0.300,51,0.17,0
2007-01-01,14:00,64.6,199.5,607,1415,72,0,9,0,0,21,72,0,9,82,25,0,28,82,25,396,10,733,16,82,10,-9900,99,-9900,99,-9900,99,2.5,51,0.056,3,0.104,3,0.300,51,0.17,0
2007-01-01,15:00,69.8,213.3,489,1415,61,0,9,0,0,21,61,0,9,62,25,0,28,62,25,299,10,662,16,70,10,-9900,99,-9900,99,-9900,99,2.4,51,0.056,3,0.104,3,0.301,51,0.17,0
2007-01-01,16:00,77.1,225.5,315,1415,76,0,9,0,0,21,76,0,9,34,25,0,28,34,25,165,10,505,16,52,10,-9900,99,-9900,99,-9900,99,2.2,3,0.056,3,0.104,3,0.301,51,0.17,0
2007-01-01,17:00,85.7,235.8,100,1332,26,0,9,49,0,21,22,0,9,14,25,0,28,14,25,34,10,165,16,22,10,-9900,99,-9900,99,-9900,99,2.0,51,0.056,3,0.104,3,0.301,51,0.17,0
2007-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,51,0.056,3,0.104,3,0.302,51,0.17,0
2007-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.056,3,0.104,3,0.302,51,0.17,0
2007-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.056,3,0.104,3,0.302,51,0.17,0
2007-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,51,0.056,3,0.104,3,0.303,51,0.17,0
2007-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,3,0.056,3,0.104,3,0.303,51,0.17,0
2007-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,51,0.056,3,0.104,3,0.303,51,0.17,0
2007-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.056,3,0.104,3,0.304,51,0.17,0
2007-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.057,3,0.104,3,0.304,2,0.17,0
2007-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.057,3,0.104,3,0.305,51,0.17,0
2007-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.057,3,0.104,3,0.305,51,0.17,0
2007-01-02,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.057,3,0.104,3,0.306,51,0.17,0
2007-01-02,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.057,3,0.104,3,0.306,51,0.17,0
2007-01-02,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.057,3,0.104,3,0.307,51,0.17,0
2007-01-02,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.057,3,0.104,3,0.307,51,0.17,0
2007-01-02,8:00,87.8,121.9,27,696,7,1,9,114,1,21,2,1,9,9,24,93,27,6,24,9,10,129,16,4,10,-9900,99,-9900,99,-9900,99,0.6,51,0.057,3,0.044,3,0.308,51,0.17,0
2007-01-02,9:00,81.0,129.5,222,1415,122,0,9,476,0,21,47,0,9,120,24,541,27,35,24,119,10,575,16,29,10,-9900,99,-9900,99,-9900,99,0.6,51,0.057,3,0.044,3,0.308,51,0.17,0
