YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2000-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.1,2,0.056,3,0.056,3,0.304,1,0.17,0
2000-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.1,2,0.056,3,0.056,3,0.304,1,0.17,0
2000-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.1,2,0.056,3,0.056,3,0.304,1,0.17,0
2000-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.1,2,0.056,3,0.056,3,0.304,1,0.17,0
2000-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.2,2,0.056,3,0.056,3,0.304,1,0.17,0
2000-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.2,2,0.056,3,0.056,3,0.304,1,0.17,0
2000-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.2,2,0.056,3,0.056,3,0.304,1,0.17,0
2000-01-01,8:00,87.8,122.1,27,696,7,1,9,119,1,21,2,1,9,9,10,112,16,4,10,10,10,132,16,4,10,12,1,34,1,5,1,1.3,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,9:00,81.0,129.7,222,1415,123,0,9,495,0,21,45,0,9,28,24,0,27,28,24,117,10,568,16,28,10,89,1,140,1,62,1,1.3,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,10:00,72.8,141.1,417,1415,269,0,9,723,0,21,55,0,9,60,10,0,16,60,10,265,10,762,16,40,10,132,10,6,11,146,11,1.3,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,11:00,66.6,154.2,561,1415,375,0,9,766,0,21,71,0,9,337,10,465,16,152,10,385,10,846,16,49,10,245,3,133,3,196,3,1.3,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,12:00,62.9,168.8,644,1415,434,0,9,719,0,21,106,0,9,456,10,831,16,78,10,456,10,881,16,55,10,431,10,734,11,116,11,1.4,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,13:00,62.2,184.3,659,1415,396,0,9,472,0,21,176,0,9,276,10,134,16,213,10,469,10,886,16,56,10,377,3,414,3,196,3,1.4,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,14:00,64.6,199.5,606,1415,267,0,9,151,0,21,202,0,9,259,10,166,16,188,10,423,10,864,16,52,10,316,3,139,3,262,3,1.4,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,15:00,69.8,213.4,488,1415,181,0,9,84,0,21,152,0,9,103,10,0,16,103,10,323,10,805,16,45,10,152,3,5,3,151,3,1.4,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,16:00,77.2,225.5,314,1415,143,0,9,232,0,21,91,0,9,61,10,0,16,61,10,183,10,673,16,34,10,94,3,14,3,90,3,1.5,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,17:00,85.7,235.8,99,1332,23,0,9,17,0,21,22,0,9,15,10,0,16,15,10,42,10,342,16,16,10,16,1,0,1,12,1,1.5,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.5,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.5,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.5,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.6,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.6,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.6,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.6,2,0.056,3,0.042,3,0.304,1,0.17,0
2000-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.6,2,0.057,3,0.042,3,0.266,1,0.17,0
